ds,y,y_next,vol_realizada,posicion_cruda,pos,ventana,seed
2026-06-19,0.001110888942363,0.0011096192625677,0.0078559550616716,0.25113466,0.3020638090133714,5,123
2026-06-22,0.0011096192625677,0.0011038136613783,0.0078445199642463,-0.02933528,-0.03533579726057634,5,123
2026-06-23,0.0011038136613783,0.0010947267365891,0.0079231408223711,-0.25099978,-0.2993415147367313,5,123
2026-06-24,0.0010947267365891,0.0010890636578447,0.0080536553356073,-0.29668206,-0.34808815827168144,5,123
2026-06-25,0.0010890636578447,0.0010871573893226,0.0081019735803832,-0.10720654,-0.1250320779738797,5,123
2026-06-26,0.0010871573893226,0.0010846104736406,0.0080241032106573,0.06449641,0.07595040053286162,5,123
2026-06-29,0.0010846104736406,0.0010848810855379,0.0079912282298692,0.02094947,0.02477139803893725,5,123
2026-06-30,0.0010848810855379,0.0010851047582413,0.0080012146086096,0.06316651,0.07459709726086694,5,123
2026-07-01,0.0010851047582413,0.0010810109643041,0.0079577120483373,0.3386388,0.4021050372583605,5,123
2026-07-02,0.0010810109643041,0.0010813850493764,0.007916853670035,0.30994174,0.3699290549807424,5,123
2026-07-03,0.0010813850493764,0.0010859649568175,0.0079272172132855,0.35906276,0.4279968911066867,5,123
2026-07-06,0.0010859649568175,0.0010780741085145,0.0066355002120129,0.3297083,0.46951259241251014,5,123
2026-07-07,0.0010780741085145,0.0010793424759473,0.0064976760709463,0.27903637,0.4057829295971198,5,123
2026-07-08,0.0010793424759473,0.0010699078046914,0.0062789039036526,0.36360705,0.5471916456951661,5,123
2026-07-09,0.0010699078046914,0.0010787951759471,0.0065214820633362,0.32693687,0.47370570214573815,5,123
2026-07-10,0.0010787951759471,0.001078899959291,0.0063717413309762,0.19600765,0.2906738110634145,5,123
2026-07-13,0.001078899959291,0.0010746910263299,0.0060378151173879,0.18851988,0.29503148270702767,5,123
2026-07-14,0.0010746910263299,0.0010810226616897,0.005383179651776,0.08931946,0.15678273434299397,5,123
2026-07-15,0.0010810226616897,0.0010816891886538,0.0054263367498133,0.121816486,0.21212426475646826,5,123
2026-07-16,0.0010816891886538,0.0010820988331904,0.0054592883602121,0.10362481,0.17935716506322336,5,123
2026-07-17,0.0010820988331904,0.001070686760864,0.0044775802903485,-0.021240715,-0.04482463439563433,5,123
2026-07-20,0.001070686760864,0.0010709160279996,0.0049349222980112,0.11644796,0.22296802320254908,5,123
2026-07-21,0.0010709160279996,0.0010704689920401,0.004884204215358,-0.03341973,-0.06465469823829299,5,123
2026-07-22,0.0010704689920401,0.0010684445556248,0.0046212486554411,0.17133264,0.3503255162976903,5,123
2026-07-23,0.0010684445556248,0.0010616950858888,0.0045264387045802,0.0793806,0.16571000788494022,5,123
2026-07-24,0.0010616950858888,0.001057093637695,0.0046823229196247,0.09557355,0.192871199638888,5,123
2026-07-27,0.001057093637695,0.0010637845446727,0.0047294628391623,-0.022242745,-0.044439337289090594,5,123
2026-07-28,0.0010637845446727,0.001070228381145,0.0050182507316101,-0.031251315,-0.05884464719691357,5,123
2026-07-29,0.001070228381145,0.0010696217055387,0.0052548559933261,-0.21325098,-0.3834610218091178,5,123
2026-07-30,0.0010696217055387,0.0010810226616897,0.0052042997226446,-0.05296511,-0.09616533820436486,5,123
2026-07-31,0.0010810226616897,0.001083482297821,0.0057697304540274,0.16628955,0.2723331083757778,5,123
2026-08-03,0.001083482297821,0.0010814786289486,0.0057103480767427,0.10157248,0.1680755200007944,5,123
2026-08-04,0.0010814786289486,0.0010935415173676,0.0054751134055422,0.295264,0.5095753436575855,5,123
2026-08-05,0.0010935415173676,0.0010946667600269,0.0059963761595998,-0.17772365,-0.28005759350231474,5,123
2026-08-06,0.0010946667600269,0.0010924424770759,0.0055702343292846,0.060157605,0.10204884279601721,5,123
2026-08-07,0.0010924424770759,0.0010958904109589,0.0053483653135679,-0.4065938,-0.7183410446869191,5,123
2026-08-10,0.0010958904109589,0.0010929081308789,0.0053759217170737,-0.16955777,-0.2980270902927452,5,123
2026-08-11,0.0010929081308789,0.0010946667600269,0.0053278706813426,0.00276042,0.004895674092004568,5,123
2026-08-12,0.0010946667600269,0.001093984148848,0.0051995799368095,-0.2256138,-0.41000430237341534,5,123
2026-08-13,0.001093984148848,0.0010940919037199,0.0052071041027338,-0.39137468,-0.7102111373635935,5,123
2026-08-14,0.0010940919037199,0.0010951703282636,0.0052080088553141,-0.36615026,-0.6643219883762451,5,123
2026-08-17,0.0010951703282636,0.0010931470873308,0.0044980783392046,-0.082284644,-0.17285533283649934,5,123
2026-08-18,0.0010931470873308,0.0010834940487515,0.0045436303669033,0.11994185,0.2494357844600201,5,123
2026-08-19,0.0010834940487515,0.0010855877688501,0.0050499549769623,0.03643261,0.06817007351642929,5,123
2026-08-20,0.0010855877688501,0.0010842811528322,0.0050227237653344,-0.2044363,-0.3846003916739199,5,123
2026-08-21,0.0010842811528322,0.0010856230876196,0.004763517728973,-0.12415881,-0.24628657697564282,5,123
2026-08-24,0.0010856230876196,0.0010962628370444,0.0045911302920847,-0.15655482,-0.3222091256980506,5,123
2026-08-25,0.0010962628370444,0.0010955662199702,0.0048451618368822,-0.05194371,-0.10130144993340937,5,123
2026-08-26,0.0010955662199702,0.0010878788884831,0.0047451626187485,0.31942037,0.6360664662107399,5,123
2026-08-27,0.0010878788884831,0.0010838111334736,0.0050790064981404,0.23190995,0.4314511228056179,5,123
2026-08-28,0.0010838111334736,0.0010735257694671,0.0046211299899929,0.1621667,0.3315923444440174,5,123
2026-08-31,0.0010735257694671,0.0010706293894563,0.005065723322464,0.23130986,0.43146314769898275,5,123
2026-09-01,0.0010706293894563,0.0010687871236201,0.0050815494145557,0.21033527,0.39111723899324685,5,123
2026-09-02,0.0010687871236201,0.0010665529287957,0.0042883947496978,-0.046083674,-0.10154144625177458,5,123
2026-09-03,0.0010665529287957,0.0010722250646482,0.0042618511563651,0.14257297,0.3161039369470195,5,123
2026-09-04,0.0010722250646482,0.0010746217359692,0.0045043864964603,0.19392999,0.40681815634683,5,123
2026-09-07,0.0010746217359692,0.0010707899049294,0.0044650552349744,0.032967433,0.06976688069872274,5,123
2026-09-08,0.0010707899049294,0.0010817476801087,0.0044864464084577,0.09681862,0.20391417351847224,5,123
2026-09-09,0.0010817476801087,0.001079692068975,0.0051163533289228,0.09715266,0.1794259075657614,5,123
2025-07-15,0.0010330792166959,0.0010342972696862,0.0103752241068805,0.6247472,0.5689810982557753,1,2024
2025-07-16,0.0010342972696862,0.0010336665263334,0.0102125430556687,0.4192759,0.3879332438970535,1,2024
2025-07-17,0.0010336665263334,0.0010368603736253,0.0101798419721349,0.2247555,0.20862208988166475,1,2024
2025-07-18,0.0010368603736253,0.0010380012090585,0.010195644442041,0.19315776,0.17901461286633594,1,2024
2025-07-21,0.0010380012090585,0.0010486357302911,0.0101950399258468,0.15343766,0.142211279249897,1,2024
2025-07-22,0.0010486357302911,0.0010523768146177,0.0103349267207608,0.13974108,0.12776375764026282,1,2024
2025-07-23,0.0010523768146177,0.0010547855648114,0.0098856370154179,0.21769099,0.20807829568721062,1,2024
2025-07-24,0.0010547855648114,0.0010529086601737,0.0099069771213738,0.18914416,0.18040260467193203,1,2024
2025-07-25,0.0010529086601737,0.0010673468223109,0.0097622966596328,0.22773777,0.22043170502288598,1,2024
2025-07-28,0.0010673468223109,0.0010432315165946,0.0098401061026245,-0.14077386,-0.1351802490109824,1,2024
2025-07-29,0.0010432315165946,0.0010414063256789,0.0106844576126209,0.07836184,0.06930158089293083,1,2024
2025-07-30,0.0010414063256789,0.0010189213774418,0.0106273087626153,0.47925988,0.4261267249633989,1,2024
2025-07-31,0.0010189213774418,0.0010285949263977,0.0114778744857806,0.38690856,0.3185208554316979,1,2024
2025-08-01,0.0010285949263977,0.001056062792421,0.0118061321131562,-0.14605738,-0.11689794119921033,1,2024
2025-08-04,0.001056062792421,0.0010348966859303,0.0134358590735313,0.03513757,0.024711396536392823,1,2024
2025-08-05,0.0010348966859303,0.0010348217780971,0.0139245899051566,0.23285607,0.1580142113019297,1,2024
2025-08-06,0.0010348217780971,0.0010263252681857,0.0139247520082229,-0.17681682,-0.11998504591117835,1,2024
